,State,City,Location,Address,Instructions,Accepting,Open packages?
39,AZ,phoenix,Arizona Asthma and Allergy Institute,"3200 E Camelback Road, Suite 125
Phoenix, AZ 85018","Mail, contact number 312 404-4150","N95s, Face shields, Gowns",
40,AZ,phoenix,Rose Court Assisted Living and Memory Care ,"2935 N 18th Place
Phoenix, AZ 85016",Attn: Wellness,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
41,AZ,phoenix,Valleywise Health Medical Center,"2601 E Roosevelt St
Phoenix, AZ 85008","ATTN ER, drop off at information desk.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns",No
42,AZ,prescott,Community Health Center of Yavapai,"1090 Commerce Drive
Prescott, AZ 86305",Call 928-442-5612 to arrange drop off or pick up,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
43,AZ,prescott,Maggie's Hospice and Palliative Care,"306 N Virginia St
Prescott, AZ 86301",At front door or via mail Attn Michael Berlowe,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
44,AZ,scottsdale,Sante Home Health and Hospice ,"17207 N Perimeter Dr
Scottsdale, AZ 85255",ATTN: Sante Operations - Drop off at information desk ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
45,AZ,scottsdale,Sante Skilled Nursing and Rehabilitation ,"8502 E Princess Dr Ste 200
Scottsdale, AZ 85255",ATTN: Sante Operations drop off at information desk ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
46,AZ,tempe,Clin-Path Diagnostics,"2109 S 48th St #102
Tempe, AZ 85282",,Surgical masks,Yes
47,AZ,tempe,Pinnacle Senior Living,"1600 W Broadway Rd
Tempe, AZ 85282",Suite #100 drop off or mail to the attention of : Liz Billett CML,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, toilet paper, to-go boxes/containers for resident meals, thermometer sheaths",Yes
48,AZ,tucson,Concentra Urgent Care,"4600 S Park Ave Ste 5
Tucson, AZ 85714",curbside procedure,"N95s, Surgical masks, Face shields, Safety goggles, Hand sanitizer, Disinfecting wipes",Yes
49,AZ,tucson,Mountain View Retirement Village,"7900 N La Cañada Dr
Tucson, AZ 85704",Drop off at front door.  Attention: Tim Nelson Executive Director,"N95s, Surgical masks, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Toilet Paper",Yes
50,AZ,tucson,Sherwood Village Assisted Living,"102 S Sherwood Village Dr
Tucson, AZ 85710",Ring bell at front door,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
51,AZ,tucson,Tucson ER and Hospital,"4575 E Broadway Blvd
Tucson, AZ 85711",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer",Yes
52,CA,alhambra,Alhambra Hospital,"100 S Raymond Ave
Alhambra, CA 91801",Attn: Dr Nick Kwan,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
53,CA,anaheim,Anaheim Global Medical Center,"1025 S Anaheim Blvd
Anaheim, CA 92805","Drop off at ED Ambulance bay. Upon arrival, contact ED registration to notify ED charge RN on duty","N95s, Surgical masks, Face shields, Safety goggles, Gowns, Thermometers",No
54,CA,anaheim,Kaiser Permanente - Anaheim Kraemer,"3440 E La Palma Ave
Anaheim, CA 92806","Email 
jayliz2015@gmail.com
 to coordinate. Only brand new in package only.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, MAXAIR CAPR",No
55,CA,anaheim,KCS Health Center,"451 W Lincoln Ave #100
Anaheim, CA 92805",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
56,CA,anaheim,St. Joseph Health Hospice,"200 W. Center Street Promenade, Suite 200B
Anaheim, CA 92805",Contact Lou Cobb: (714) 712-9559. Can be dropped off with front desk,"N95s, Surgical masks, Hand sanitizer",Yes
57,CA,anaheim,West Anaheim Medical Center,"3033 W Orange Ave
Anaheim, CA 92804","West Anaheim Medical Center
Attn: Carolyn Stoddard 3West
3033 West Orange Ave
Anaheim, CA 92804","N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",No
58,CA,antioch,Kaiser Permanente - Antioch ,"4501 Sand Creek Rd
Antioch, CA 94531","Drop off at Admin dept, 4th floor. Or at volunteer residence in Berkeley - see Kaiser Permanente Antioch under Berkeley listing","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, PAPR, CAPR, swabs",Yes
59,CA,antioch,Sutter Delta Medical Center ,"3901 Lone Tree Way
Antioch, CA 94509","Anesthesia Department - Henry Liu, M.D.","N95s, Surgical masks, Face shields, Disinfecting wipes",Yes
60,CA,bakersfield,Adventist’s Health ,"2615 Chester Ave
Bakersfield, CA 93301",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
61,CA,bakersfield,Around the Clock Home Care,"5251 Office Park Dr
Bakersfield, CA 93309",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
62,CA,bakersfield,Priority Urgent Care,"1345 Allen Rd #300
Bakersfield, CA 93314",Drop off at entrance or mail w/ Attn: Dr. Kiran Loewen,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
63,CA,baldwin park,Kaiser Permanente - Baldwin Park,"1011 Baldwin Park Blvd
Baldwin Park, CA 91706",Drop off to intake nurse or security staff in the Emergency Department parking lot,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
64,CA,berkeley,Hospitals via City of Berkeley,N/A,rkesarwani@cityofberkeley.info,"N95s, Surgical masks, Gloves",Yes
65,CA,berkeley,Kaiser Permanente - Antioch;  Kaiser Permanente - Walnut Creek,"1514 Grant Street
Berkeley, CA 94703",Drop off at private residence of volunteer (hospital staff member).,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, PAPPR, CAPRS, gowns, swabs,",Yes
66,CA,berkeley,LifeLong Medical Care,"2001 Dwight Way #1388
Berkeley, CA 94704","Please mail to address and text Kyle Hui at 206-427-3587 once it is mailed. Other supplies such as surgical masks, gowns, hair caps, hand sanitizer can be sent to our procurement deparmtent.","N95s, swabs, rapid flu testing kit",No
67,CA,beverly hills,"Steven J. Waltrip, M.D. inc.","120 S Spalding Dr #400
Beverly Hills, CA 90212","120 S Spalding Dr
Suite 400","N95s, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
68,CA,beverly hills,wilshire surgery center,"8670 Wilshire Blvd #300
Beverly Hills, CA 90211",mailing address ATTN Dr Ross Ravin,"N95s, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",No
69,CA,big bear lake,Bear valley community health Care district,"41870 Garstin Dr
Big Bear Lake, CA 92315",Purchasing/ steve,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer",Yes
70,CA,big bear lake,Bear Valley Community Hospital,"41870 Garstin Dr
Big Bear Lake, CA 92315",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
71,CA,brea,Brea Urgent Care,"395 W Central Ave
Brea, CA 92821",Unknown,"N95s, Safety goggles, Gowns",Unsure
72,CA,burbank,Burbank Pediatrics,"1411 N Hollywood Way
Burbank, CA 91505",Walk in or call,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Disinfecting wipes, Thermometers",Yes
73,CA,burbank,Lakeside Community Healthcare,"191 S Buena Vista St #240
Burbank, CA 91505",ATTN: Dr. Rungsima,"N95s, Face shields",No
74,CA,burlingame,Mills-Peninsula Medical Center,"1501 Trousdale Drive
Burlingame, CA 94010","Drop off at ER triage desk.  650-696-5446 (ER Main Line) OR Drop off at hospital front door 9AM-5PM M-F, 9AM-12PM S-Su.
For larger donations, email Dr. Ching at 
bching@mpema.com
 or Dr. Alexander Ding at 
dinga@sutterhealth.org
 to coordinate pick-up or delivery. ","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns",No
75,CA,calabasas,Cedars-Sinai Medical Center,"22724 Brandywine Dr
Calabasas, CA 91302",Drop off inside front porch,"N95s, Face shields, Disposable booties, Safety goggles, Hand sanitizer, Disinfecting wipes",No
76,CA,calexico,Easy Access Urgent Care,"222 E Cole Blvd
Calexico, CA 92231",Mail,"N95s, Surgical masks, Gowns",Unsure
77,CA,camarillo,St johns pleasant valley hospital,"3809 Antonio Ave
Camarillo, CA 93010",ER entrance,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
78,CA,capitola,Pacific Coast Manor,"1935 Wharf Rd
Capitola, CA 95010",We have our facility locked. There is an employee at the front door 6am - 6:30 pm Please knock and they will accept the PPE.,"Surgical masks, Gowns, Disinfecting wipes",No
79,CA,carlsbad,One Medical,"7740 El Camino Real Suite F
Carlsbad, CA 92009",Meet outside for delivery. ,"Surgical masks, Face shields, Disposable booties, Gowns, Hand sanitizer, Disinfecting wipes",Yes
80,CA,carlsbad,Urgent Care3D,"6010 Hidden Valley Rd #150
Carlsbad, CA 92011",Will collect,N95s,
81,CA,carmichael,UC Davis Medical Center,"5116 Infinity Ct
Carmichael, CA 95608",Residence. ATTN: Donation Zongyinhao  Hao,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
82,CA,castro valley,Eden Medical Center,"20103 Lake Chabot Rd
Castro Valley, CA 94546","Drop off at front lobby. Daytime preferred, evening okay but security will have to call in for access.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes
83,CA,century city,California Rehabilitation Institute,"2070 Century Park E
Los Angeles, CA 90067",Lobby,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
84,CA,century city,One Medical,"10250 Santa Monica Blvd #1280
Los Angeles, CA 90067","located in the Westfield Century City mall, use delivery loading docks. Attn: Michelle A.","N95s, Surgical masks, Face shields, Disposable booties, Gowns, Hand sanitizer, Disinfecting wipes",Yes
85,CA,chico,Enloe Medical Center,"1531 Esplanade
Chico, CA 95926",Any,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
86,CA,chico,Open System Imaging,"1555 Springfield Dr
Chico, CA 95928",Curbside weekdays,"N95s, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
87,CA,chino,Chino Valley Smile Center ,"12850 10th St B1
Chino, CA 91710",Tareq Afifi,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer",Yes
88,CA,chula vista,Sharp Chula Vista Medical Center,"751 Medical Center Ct
Chula Vista, CA 91911",,"N95s, Surgical masks, Face shields, Safety goggles, Gowns",No
89,CA,clovis,Clovis Community Medical Center,"7370 N Palm Ave #101
Fresno, CA 93711",Drop off at reception ask for Courtney/Renee/Pam for Hospitalist Group,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
90,CA,concord,In Home Recovery,"5512 Arizona Dr
Concord, CA 94521",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Thermometers",Yes
91,CA,concord,John Muir Concord,"2540 East St
Cardiovascular Institute Registration Desk
Concord, CA 94520",Drop at the Cardiovascular Institute Registration Desk,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",No
92,CA,coronado,Sharp Coronado Hospital,"250 Prospect Pl
Coronado, CA 92118",,"N95s, Surgical masks, Face shields, Gloves, Gowns",No
93,CA,costa mesa,Share Our Selves,"1550 Superior Ave
Costa Mesa, CA 92627",Drop off at food pantry warehouse,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
94,CA,covina,Emanate Health - Inter-Community Hospital,"150 W San Bernardino Rd
Covina, CA 91723",Attn: ER Department,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
95,CA,daly city,New Haven Home Health Services Inc,"333 Gellert Blvd #249
Daly City, CA 94015",Need for our clinicians visiting home health seniors ,"N95s, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
96,CA,daly city,New Haven In-Home Care Inc ,"333 Gellert Blvd #227
Daly City, CA 94015",Office in 2nd floor. Please deliver in the unit. Thank you ,"Surgical masks, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
97,CA,daly city,Seton Medical Center,"1900 Sullivan Ave
Daly City, CA 94015",Please drop off in front lobby! Thanks <3,"N95s, Surgical masks, Face shields, Gloves, Disinfecting wipes",No
98,CA,danville,Reutlinger Community ,"4000 Camino Tassajara
Danville, CA 94506",4000 Camino Tassajara,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
99,CA,davis,Courtyard Health Care,"1850 E 8th St
Davis, CA 95616","Receptionist will accept at door., Ring Doorbell after 8 p.m.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
100,CA,downey,Downey Community Health Center,"8425 Iowa St
Downey, CA 90241",,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Thermometers",Yes
101,CA,downey,Kaiser Permanente - Downey,"9333 Imperial Hwy
Downey, CA 90242","Drop off at front desk, ER ambulance entrance.","N95s, Surgical masks, Safety goggles, Gloves, Gowns",No
102,CA,downey,Kaiser Permanente - Urology Department,"9449e Imperial Hwy D231
Downey, CA 90242",curbside in front of building 'D' stairwell,"N95s, Surgical masks, Gowns, Disinfecting wipes",Yes
103,CA,downey,PIH Health Downey Hospital,"11500 Brookshire Ave
Downey, CA 90241","FedEx, UPS, or USPS only. ","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Hand sanitizer",No
104,CA,duarte,City of Hope Cancer Center,"1500 E Duarte Rd
Duarte, CA 91010",,"N95s, Surgical masks, Face shields, Safety goggles, Hand sanitizer",Yes
105,CA,emeryville,One Medical Group: Emeryville ,"1333 Powell St Suite A103
Emeryville, CA 94608",Deliveries can be made to the Emeryville Powell st. location. Please call Jen Rodney @707-227-2767 and she will meet you! If you can't get a hold of Jen Rodney please call Jessie Kearse @510-586-5506,"Surgical masks, Gowns, Hand sanitizer, Disinfecting wipes",Yes
106,CA,encinitas,Encinitas Nursing and Rehabilitation Center,"900 Santa Fe Dr
Encinitas, CA 92024",infront of our building entrance,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
107,CA,encino,Providence Holy Cross,"3946 Encino Hills Place
Encino, CA 91436",Encino,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns",Yes
108,CA,escondido,Escondido Post Acute Rehab,"421 E Mission Ave
Escondido, CA 92025",Call and drop off at entrance. Doors remain locked during open hours.,"N95s, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Unsure 
109,CA,escondido,Valle vista convalescent hospital,"1025 W 2nd Ave
Escondido, CA 92025",Front door or mail,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
110,CA,folsom,"Healthy Living Network, LLC","2365 Iron Point Rd #270
Folsom, CA 95630","Mail to: 7860 Olive St, Fair Oaks, CA 95630","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, alcohol, germicides",Yes
111,CA,fountain valley,MemorialCare Orange Coast Medical Center,"18111 Brookhurst St
Fountain Valley, CA 92708",Curbside on the street of Cashew/Foster at the Emergency Department. Attn: Efren Grospe under Kathy Dang (RN)'s request. Thank you! ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Disinfecting wipes, Thermometers",No
112,CA,fremont,Kaiser Permanente - Fremont ER,"39400 Paseo Padre Pkwy
Fremont, CA 94538",Please drop off to emergency room receptionist,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
113,CA,fremont,Palo Alto Medical Foundation,"3200 Kearney St
Fremont, CA 94538","Philanthropy Contact
Raya Elias-Petros
650-853-4808

Eliaspr@sutterhealth.org","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Impermeable painter smock",No
114,CA,fremont,PAMF Fremont Urgent Care and now COVID Respiratory Clinic,"3200 Kearney St
Fremont, CA 94538",7688 Balmoral Way,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
115,CA,fremont,Tri-City Health Center,"39500 Liberty Street
Fremont, CA 94538",Attn: Phyllis Pei,"N95s, Face shields, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
116,CA,fremont,Washington Hospital,"2000 Mowry Ave
Fremont, CA 94538","Washington West Entrance (call 510 818 7424-Abigail)

Additional contact information:
510-818-7350, 
foundation@whhs.com","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
117,CA,fremont,Washington Hospital Healthcare System,"2500 Mowry Ave
Fremont, CA 94538","Curbside, just inside the main doors of Washington West, 2500 Mowry Avenue.  Drop off available from 8am to 8pm. For large deliveries, call the foundation at 510-818-7350, and we will come and meet you.  Thank you from the bottom of our hearts.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
118,CA,fremont,Washington Hospital Healthcare System,"2000 Mowry Ave
Fremont, CA 94538","2000 Mowry Avenue, Hospital Loading Dock","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Disinfecting wipes, Thermometers",Yes
